Date,Open,High,Low,Close,Adj Close,Volume
2022-03-01,24.780001,25.920000,23.920000,25.350000,20.821148,381400
2022-04-01,25.590000,25.730000,24.400000,24.400000,20.217443,550600
2022-05-01,24.400000,25.129999,22.830000,23.590000,19.701584,765500
2022-06-01,23.590000,23.730000,22.200001,22.690001,19.088400,843200
2022-07-01,22.610001,23.400000,22.610001,23.250000,19.756197,654900
2022-08-01,23.389999,23.629999,21.988001,22.013000,18.871130,873400
2022-09-01,21.770000,22.660000,20.290001,20.309999,17.523432,789900
2022-10-01,20.559999,22.299999,20.170000,21.950001,19.131533,907900
2022-11-01,22.150000,22.320000,21.690001,22.100000,19.455933,993200
2022-12-01,22.010000,22.480000,21.500000,21.570000,19.139215,852000
2023-01-01,21.540001,22.200001,21.540001,22.120001,19.815739,1048800
2023-02-01,22.150000,22.601999,21.840000,21.950001,19.785480,742400
2023-03-01,22.049999,22.500000,21.000000,21.709999,19.689375,925800
2023-04-01,21.820000,22.200001,21.500000,21.820000,19.988180,885900
2023-05-01,21.850000,21.889000,21.200001,21.389999,19.700624,736200
2023-06-01,21.469999,22.500000,21.370001,22.129999,20.440289,950000
2023-07-01,22.129999,22.490000,21.770000,22.280001,20.727520,842900
2023-08-01,22.320000,22.430000,21.660000,22.080000,20.639168,595400
2023-09-01,22.055000,22.280001,21.260000,21.344999,20.102970,492000
2023-10-01,21.340000,21.799999,20.639999,21.200001,20.061764,490500
2023-11-01,21.139999,21.639999,20.959999,21.629999,20.607298,520100
2023-12-01,21.629999,22.000000,21.520000,21.910000,20.978317,714100
2024-01-01,21.889999,22.339001,21.770000,22.230000,21.399595,581400
2024-02-01,22.219999,22.600000,22.010000,22.500000,21.744041,653100
2024-03-01,22.500000,22.990000,22.299999,22.790001,22.122215,575400
2024-04-01,22.650000,22.820000,22.000000,22.209999,21.665268,415600
2024-05-01,22.209999,22.610001,21.480000,21.854000,21.486408,414600
2024-06-01,21.809999,22.230000,21.639999,22.100000,21.855516,415300
2024-07-01,22.170000,22.549000,22.030001,22.379999,22.230865,628100
2024-08-01,22.430000,22.430000,21.209999,21.447001,21.447001,117100
2024-08-06,21.650000,21.879999,21.559999,21.719999,21.719999,34762
